,Close
2025-04-13,86.89
2025-04-14,87.51
2025-04-15,87.82
2025-04-16,88.31
2025-04-17,87.53
2025-04-18,87.53
2025-04-19,87.53
2025-04-20,87.53
2025-04-21,86.0
2025-04-22,86.48
2025-04-23,87.32
2025-04-24,88.24
2025-04-25,88.89
2025-04-26,88.89
2025-04-27,88.89
2025-04-28,89.45
2025-04-29,90.2
2025-04-30,89.47
2025-05-01,88.69
2025-05-02,87.73
2025-05-03,87.73
2025-05-04,87.73
2025-05-05,87.24
2025-05-06,87.53
2025-05-07,87.9
2025-05-08,86.92
2025-05-09,87.05
2025-05-10,87.05
2025-05-11,87.05
2025-05-12,86.24
2025-05-13,85.89
2025-05-14,85.32
2025-05-15,86.07
2025-05-16,86.3
2025-05-17,86.3
2025-05-18,86.3
2025-05-19,86.05
2025-05-20,85.43
2025-05-21,83.97
2025-05-22,83.97
2025-05-23,84.55
2025-05-24,84.55
2025-05-25,84.55
2025-05-26,84.55
2025-05-27,85.73
2025-05-28,85.36
2025-05-29,86.15
2025-05-30,86.28
2025-05-31,86.28
2025-06-01,86.28
2025-06-02,85.16
2025-06-03,85.01
2025-06-04,86.39
2025-06-05,86.45
2025-06-06,85.35
2025-06-07,85.35
2025-06-08,85.35
2025-06-09,85.44
2025-06-10,85.88
2025-06-11,86.14
2025-06-12,87.17
2025-06-13,86.33
2025-06-14,86.33
2025-06-15,86.33
2025-06-16,85.46
2025-06-17,86.5
2025-06-18,86.65
2025-06-19,86.65
2025-06-20,86.49
2025-06-21,86.49
2025-06-22,86.49
